Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,BinaryLabel,Label
444.00293,8.188386e+07,1140.7637,1079.2517,309052.78,1.4846972e+06,1847.0408,3.9325953,255.19589,250.36172,3250.4033,3.46918,924.8885,583.67413,35344.59,2543.7148,1.3775612e+06,4.7556245e+06,2.903938e+07,9774.51,8.358534e+07,1.8554301e+06,4.4611285e+06,2.6265564e+07,893998.9,8.01879e+07,1.4940696e+06,5.7468465e+06,2.575943e+07,251.38976,0.4062937,-0.02967937,-0.020490823,0.010769067,31640.924,24991.768,2948.1418,9.03885,4.096601,4014.214,500.96793,766.64124,1.3554101e+06,-0.018124297,0.4422875,0.0068438035,0.14355467,0.8594,0.024277262,-0.025770983,0.00063724816,0.5083271,492.25488,242.53445,891.5947,27337.086,-0.022003591,0.010776654,0.0154140815,0.024628647,-0.045552045,0.014476767,1254.7147,282262.44,982.3402,1.3937829e+06,2213.313,1451.6312,693.7055,22.541107,3.2315065e+06,1.1020299e+06,4.6949235e+06,2.4148042e+06,2.0144826e+07,5.8972135e+06,2.5096112e+07,1.5403275e+07,1.0158364,Synthetic_Attack
443.9734,8.775413e+07,1316.652,1199.0391,276093.78,1.698299e+06,1937.243,3.8679245,227.8541,238.41522,3938.2651,3.567358,1007.0232,628.62964,30289.477,2978.5864,1.3287382e+06,4.7812375e+06,2.8550072e+07,6967.6836,8.364971e+07,2.7128118e+06,4.95276e+06,2.6545376e+07,1.0795972e+06,8.888129e+07,1.6519321e+06,5.395357e+06,2.8598262e+07,276.74484,0.3774989,0.033670336,0.004200192,-0.019302392,34562.285,28642.158,1549.0586,10.404747,3.9218228,4513.3447,493.51624,824.4319,1.5505846e+06,-0.030131064,0.38831136,0.020768495,0.13321118,0.8652429,0.021500811,0.017430097,-0.0027967542,0.44875747,509.9577,221.28981,927.8127,34012.8,-0.00039501302,-0.01710112,0.013313562,0.020766512,0.032338936,0.03892085,1303.7411,323880.1,1146.1627,2.234776e+06,2164.4756,1379.9572,700.1113,23.191422,3.1403175e+06,1.2186651e+06,3.8166455e+06,2.1295275e+06,1.8649754e+07,7.340089e+06,2.822375e+07,1.5549201e+07,1.0160271,Synthetic_Attack
443.98163,8.474397e+07,1371.5782,1174.8665,310411.25,1.7125356e+06,1986.271,3.9652393,238.22871,246.33165,3824.2124,3.813369,1025.0789,601.9669,41495.406,2242.5332,1.1859622e+06,4.8656135e+06,2.844046e+07,6366.9346,8.230927e+07,2.538057e+06,4.8748165e+06,2.4281024e+07,791918.6,8.5028824e+07,1.5753012e+06,5.736921e+06,2.7175672e+07,285.98264,0.36752123,0.04572337,0.00932207,-0.00043039955,34153.445,26211.992,2267.058,10.157407,3.8777828,4320.9976,481.71606,838.57874,1.5064476e+06,0.0008704625,0.4012615,-0.003287897,0.13597025,0.8639019,0.031218532,0.001551629,0.010895617,0.43320814,489.14627,239.23636,883.10535,33698.15,-0.00011223927,-0.022183351,0.024042312,0.0025615543,-0.007326938,0.0011512972,1282.0765,288223.94,1135.5737,1.9898532e+06,2164.506,1434.738,690.40875,23.193933,3.3042485e+06,1.2145484e+06,3.842777e+06,2.348049e+06,1.9272132e+07,6.182075e+06,2.523052e+07,1.5922968e+07,0.97490305,Synthetic_Attack
443.99918,8.4912856e+07,1137.1461,962.50653,290470.06,1.5717604e+06,1705.6151,3.880576,234.47762,251.51164,2856.076,3.5665119,817.73083,522.1766,31786.816,2476.5093,1.8603448e+06,5.098091e+06,3.1406806e+07,8690.175,7.932535e+07,2.8650592e+06,5.63812e+06,3.0374148e+07,1.0608399e+06,8.251687e+07,2.0036636e+06,5.976997e+06,2.9488704e+07,273.7413,0.43075693,-0.039323524,0.0058951024,-0.0026856866,30306.742,23601.695,2191.349,9.182397,3.834362,4140.227,535.639,709.0822,1.4021691e+06,-0.027891107,0.4305193,0.021454642,0.1685337,0.84835196,0.021612471,0.005880356,0.014276706,0.52730215,500.17383,223.63405,895.1147,28524.982,0.025275778,-0.0014826171,-0.021571893,-0.0075814947,0.026803773,0.04252278,1069.385,254446.67,913.7677,1.4002432e+06,2526.946,1442.0306,555.0684,22.32343,3.332152e+06,1.4934128e+06,4.5791625e+06,2.557952e+06,2.1824574e+07,6.82808e+06,2.788378e+07,1.5007706e+07,1.0119172,Synthetic_Attack
443.9507,8.2952904e+07,1096.6317,963.48267,238006.83,1.727924e+06,1464.243,3.9975123,229.9832,251.24484,3440.2449,3.4595623,833.8509,528.832,20163.686,3039.0166,1.5614888e+06,5.857792e+06,3.357859e+07,5969.219,8.062127e+07,3.2160375e+06,5.8154485e+06,3.0457888e+07,1.1815424e+06,8.388139e+07,1.8699391e+06,6.6041815e+06,3.117514e+07,261.9074,0.45098972,0.020258091,-0.011765424,-0.0038144495,27326.107,25844.191,1203.4619,8.795212,3.890546,3672.2605,449.61478,633.1744,1.3952694e+06,0.0056142695,0.5013379,0.0031877311,0.15528418,0.821246,0.017207034,0.004153058,0.010104276,0.5369998,500.58444,224.40878,894.5573,29017.828,-0.08735013,-0.015848968,0.041514248,-0.022400185,-0.03367105,-0.00877855,1245.1393,218478.0,1018.952,1.339747e+06,2509.1946,1387.0598,509.0876,22.244375,3.005894e+06,1.5034262e+06,4.7083e+06,2.1244065e+06,2.1809616e+07,7.8683975e+06,2.9788104e+07,1.9136896e+07,1.0207453,Synthetic_Attack
444.01596,8.776733e+07,1245.5465,1102.9447,290649.66,1.7127456e+06,1794.5768,3.8865902,226.07008,239.42053,3545.4902,3.7368052,959.27856,545.83203,32800.02,3107.8972,1.7476678e+06,5.2836005e+06,3.1842806e+07,7486.6875,8.2870664e+07,2.988795e+06,4.9579685e+06,2.8651856e+07,1.5913578e+06,8.465613e+07,1.8238685e+06,5.9186115e+06,2.874342e+07,271.9555,0.39649856,-0.014246646,-0.00699101,0.0077466015,31942.129,26977.06,1874.4011,9.655403,3.7345176,4531.8145,513.54987,776.0228,1.3868002e+06,-0.010223702,0.39846864,0.0036864777,0.14433509,0.85000116,0.023472061,-0.007900797,0.004434742,0.5076111,486.72998,221.15271,850.0361,30814.736,0.008315276,0.0064906776,-0.00838294,-0.005277358,-0.0035253651,0.015297918,1188.4181,277682.28,1025.0424,1.5960668e+06,2462.046,1409.2057,685.01556,22.877594,2.9725175e+06,1.2860094e+06,3.856005e+06,2.3560165e+06,2.1155948e+07,6.8156725e+06,2.6392792e+07,1.5909627e+07,0.9747144,Synthetic_Attack
444.0107,8.675292e+07,1159.7622,1053.3315,287160.34,1.7387132e+06,1816.6537,4.0357165,233.90012,252.41545,3246.46,3.6545453,826.94604,526.3859,32038.254,2188.5803,1.5580634e+06,5.0551925e+06,3.0090006e+07,7816.2803,8.288614e+07,2.4148265e+06,4.9036605e+06,2.624184e+07,1.4422714e+06,8.143272e+07,1.6438245e+06,6.043016e+06,2.8091654e+07,271.66928,0.41372585,-0.043684054,-0.0011095311,-0.021032382,31875.11,24242.518,1945.1663,9.378952,3.9740746,4374.2827,497.083,704.9797,1.3989176e+06,-0.018362533,0.4486789,-0.003732176,0.14731495,0.8430487,0.02471458,0.0032908544,-0.0006599501,0.50591826,496.97858,234.20273,791.7874,27594.467,0.02206209,-0.0042141527,-0.006945815,0.015931536,-0.007047657,0.011746123,1167.4587,273009.94,1006.1411,1.6878395e+06,2283.8286,1417.3395,639.8496,22.782085,3.2344125e+06,1.1993236e+06,4.3446385e+06,2.629523e+06,2.2831302e+07,6.078664e+06,2.579195e+07,1.4841155e+07,1.01116,Synthetic_Attack
443.99817,8.83657e+07,1424.1534,1554.5269,364022.56,2.2685665e+06,2083.5474,3.6930983,242.6016,253.55522,4368.2114,2.8669393,1007.16064,845.18994,30842.375,966.0563,514618.8,3.6193678e+06,2.5495234e+07,3960.4053,8.8703304e+07,2.3939035e+06,3.8325238e+06,2.1057864e+07,1.119122e+06,9.442044e+07,1.4846034e+06,5.406389e+06,2.8253148e+07,262.44577,0.33990854,-0.031743493,0.014626712,0.01720606,36043.66,29087.99,-1270.6604,10.32754,3.8351882,4104.545,601.6,848.88464,1.6336164e+06,0.0017612092,0.38164335,0.009249006,0.106955394,0.8866298,-0.017457256,0.015228923,0.0815334,0.3785053,537.1649,246.74684,959.0761,43980.25,0.015693236,-0.038368367,-0.009941903,0.010078967,0.012670219,0.009495631,1431.6727,298775.75,1328.3746,2.1187805e+06,1148.3536,1514.6738,1015.0789,23.930555,3.5079692e+06,1.03696275e+06,5.396741e+06,2.0031685e+06,1.8776442e+07,5.1296925e+06,2.3108724e+07,1.6450865e+07,1.0113494,Synthetic_Attack
443.9982,8.735991e+07,1306.573,1113.4382,323302.38,1.6708428e+06,1951.0151,3.8137894,234.41063,249.52664,3538.0813,3.7517095,934.6613,559.6573,35942.723,2999.7495,1.4937685e+06,5.049423e+06,2.9201772e+07,5372.9346,8.306168e+07,2.215742e+06,5.0535955e+06,2.7401118e+07,1.3920959e+06,8.2589e+07,1.7885065e+06,5.4856275e+06,2.5528806e+07,282.5087,0.4097827,-0.007578995,0.015241245,0.0069219302,31784.21,25652.225,2097.1506,10.248462,3.7545521,4511.2505,498.8114,799.66833,1.4660356e+06,-0.04098127,0.41706368,0.011961273,0.14630339,0.8305397,0.025084317,-0.0104713375,0.01320076,0.4908404,520.78754,229.74232,868.9082,32233.863,-0.011672389,-0.0014729314,0.019460209,0.010532688,0.035706114,0.033398956,1146.7391,265372.88,1065.5326,1.6686201e+06,2227.929,1364.7184,690.07935,23.131876,3.0749978e+06,1.151694e+06,3.7837208e+06,2.3704175e+06,2.110883e+07,6.409044e+06,2.6542374e+07,1.5260684e+07,0.9848715,Synthetic_Attack
443.97308,8.8895576e+07,1382.6202,1217.1493,328072.16,1.7972662e+06,2123.426,3.7821076,239.36526,238.94968,4061.1646,3.7834835,1055.351,585.98706,42422.105,918.1963,1.3804628e+06,4.6772475e+06,2.6318168e+07,5892.755,8.341457e+07,2.9772752e+06,4.9972185e+06,2.540248e+07,952111.6,8.67417e+07,1.5951525e+06,5.8254905e+06,2.7219566e+07,281.96472,0.37596917,0.035070643,0.010863998,0.017446639,35701.656,26732.982,2231.7786,10.033557,3.7546387,4349.5864,533.2068,907.26807,1.5297596e+06,0.015702832,0.393278,-0.005569281,0.122496314,0.8817185,0.019952483,-0.000484935,-0.010944776,0.42929998,513.37103,228.0406,937.5337,38309.22,0.00023983605,-0.020827353,0.015263412,0.014131863,-0.026781367,0.005551398,1373.8188,320157.06,1226.0078,2.0477978e+06,2254.518,1374.1996,709.6358,23.500223,3.1531692e+06,1.3692241e+06,4.104235e+06,2.229088e+06,1.8088496e+07,7.163579e+06,2.5989752e+07,1.5894484e+07,0.97848487,Synthetic_Attack
